mcu,filename,n_samples,n_windows,ambient_temperature,actual_soh,predicted_soh,std_soh,error,abs_pct_error,temp_label,soh_band
mcu7,mcu7/2025-02-26_04.55.57 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3283,1,24.99736213684082,0.8921867947048611,0.8963440656661987,0.0,0.004157270961337667,0.4659641888908374,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-26_09.28.12 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3278,1,24.996179580688477,0.8909806857638889,0.8949074149131775,0.0,0.003926729149288599,0.4407198957317452,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-26_18.11.21 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3298,1,25.005517959594727,0.8962965494791667,0.8984379768371582,0.0,0.002141427357991499,0.23891951377430506,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-26_22.41.18 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3270,1,24.987951278686523,0.8885869140625,0.8933606147766113,0.0,0.0047737007141113175,0.5372238369217704,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-27_03.13.40 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3262,1,25.014816284179688,0.8864558376736111,0.8909745216369629,0.0,0.004518683963351755,0.5097472170988752,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-27_07.46.16 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3253,1,24.99578094482422,0.8841002604166667,0.8885582685470581,0.0,0.004458008130391433,0.5042423727248336,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-27_12.18.14 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3243,1,24.994670867919922,0.8814029947916666,0.8859813213348389,0.0,0.004578326543172251,0.5194362363443535,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-27_16.53.33 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3237,1,25.00138282775879,0.8795877821180556,0.8840072154998779,0.0,0.00441943338182238,0.5024436982492348,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-27_21.27.56 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3226,1,25.010128021240234,0.8767901475694444,0.8815625905990601,0.0,0.004772443029615658,0.5443084691183379,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-28_02.01.56 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3216,1,25.00200080871582,0.8740545247395833,0.8787208199501038,0.0,0.004666295210520421,0.5338677483433544,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-28_06.36.28 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3206,1,24.984920501708984,0.87134375,0.8761982321739197,0.0,0.004854482173919705,0.5571259533243573,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-28_11.11.53 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3196,1,24.98790740966797,0.8686359592013889,0.8736701011657715,0.0,0.005034141964382566,0.5795456555829075,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-28_21.21.53 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3226,1,25.016870498657227,0.8765855034722222,0.8799969553947449,0.0,0.003411451922522679,0.3891750330127132,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-03-01_01.59.09 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3189,1,25.00554847717285,0.8666788194444445,0.8724876642227173,0.0,0.005808844778272815,0.670241922145551,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-03-01_06.41.53 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3171,1,24.97458839416504,0.8618586154513889,0.8676146864891052,0.0,0.005756071037716359,0.6678672040311021,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-03-01_11.21.48 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3156,1,25.0052433013916,0.8576482204861111,0.8634200692176819,0.0,0.005771848731570772,0.6729855660750178,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-03-01_16.08.02 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3147,1,24.98664093017578,0.8552732204861111,0.8608618974685669,0.0,0.005588676982455798,0.6534376207031672,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-03-01_20.48.46 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3132,1,24.980716705322266,0.85111767578125,0.8570592999458313,0.0,0.005941624164581327,0.698096671430005,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-03-02_01.25.45 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3120,1,25.009662628173828,0.8477395833333333,0.8538567423820496,0.0,0.006117159048716236,0.7215846905087778,reference (23-27C),SoH 75-85%
mcu7,mcu7/2025-03-02_06.02.37 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3107,1,24.98953628540039,0.8442805989583333,0.8506722450256348,0.0,0.006391646067301471,0.7570523443494299,reference (23-27C),SoH 75-85%
mcu7,mcu7/2025-03-02_10.38.22 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3094,1,24.99959945678711,0.8407754991319445,0.8472777009010315,0.0,0.0065022017690870015,0.773357665131795,reference (23-27C),SoH 75-85%
